4 single  DEGREE_CHANGE not well-formed (invalid token): line 1, column 38
1528 group 15 AFFECT_EFFECT no element found: line 1, column 0
1529 group 16 AFFECT_EFFECT no element found: line 1, column 0
1530 group 17 AFFECT_EFFECT no element found: line 1, column 0
1535 group 1 IN_PRINCIPAL no element found: line 1, column 0
1536 group 2 IN_PRINCIPAL no element found: line 1, column 0
1537 group 3 IN_PRINCIPAL no element found: line 1, column 0
1538 group 4 IN_PRINCIPAL no element found: line 1, column 0
1539 group 5 IN_PRINCIPAL no element found: line 1, column 0
1540 group 6 IN_PRINCIPAL no element found: line 1, column 0
1545 group 1 NIB_NUB no element found: line 1, column 0
1546 group 2 NIB_NUB no element found: line 1, column 0
1552 single  SLIGHT_OF_HAND not well-formed (invalid token): line 1, column 38
1560 group 1 SINCE_FOR no element found: line 1, column 0
1575 single  BAR_B_QUE not well-formed (invalid token): line 1, column 38
1578 single  FROM_X_Y not well-formed (invalid token): line 1, column 46
1580 single  THE_QUESTION_WH not well-formed (invalid token): line 1, column 52
1601 group 1 CD_00_O_CLOCK no element found: line 1, column 0
1602 group 2 CD_00_O_CLOCK no element found: line 1, column 0
1608 single  DIRECTLY_ANTITHETICAL not well-formed (invalid token): line 1, column 47
1609 single  APPROXIMATELY_ABOUT not well-formed (invalid token): line 1, column 47
1614 single  USELESS_THAT not well-formed (invalid token): line 1, column 17
1625 single  ADD_AN_ADDITIONAL not well-formed (invalid token): line 1, column 48
1650 single  TEMPORARY_BIVOUAC_BIVOUAC not well-formed (invalid token): line 1, column 49
1651 single  BIVOUAC_CAMP_BIVOUAC not well-formed (invalid token): line 1, column 48
1665 single  CIRCUMSTANCES_SURROUNDING not well-formed (invalid token): line 1, column 41
1672 single  CONTINUE_TO_REMAIN not well-formed (invalid token): line 1, column 38
1697 single  ESTABLISHED_FACT not well-formed (invalid token): line 1, column 38
1764 single  FREE_GIFT not well-formed (invalid token): line 1, column 43
1778 group 1 CAPITALIZATION no element found: line 1, column 0
1779 group 2 CAPITALIZATION no element found: line 1, column 0
1780 group 3 CAPITALIZATION no element found: line 1, column 0
1781 group 4 CAPITALIZATION no element found: line 1, column 0
1782 group 5 CAPITALIZATION no element found: line 1, column 0
1783 group 6 CAPITALIZATION no element found: line 1, column 0
1784 group 7 CAPITALIZATION no element found: line 1, column 0
1785 group 8 CAPITALIZATION no element found: line 1, column 0
1794 single  YEAR_20001 not well-formed (invalid token): line 1, column 48
1798 group 2 DATE_WEEKDAY no element found: line 1, column 0
1799 group 3 DATE_WEEKDAY no element found: line 1, column 0
1800 group 4 DATE_WEEKDAY no element found: line 1, column 0
1801 group 5 DATE_WEEKDAY no element found: line 1, column 0
1802 group 6 DATE_WEEKDAY no element found: line 1, column 0
1834 single  BE_ADVISED not well-formed (invalid token): line 1, column 18
1835 single  DUE_TO_THE_FACT no element found: line 1, column 0
1846 single  END_RESULT_OR_PRODUCT not well-formed (invalid token): line 1, column 16
1859 group 1 DESPITE_THE_FACT no element found: line 1, column 0
1860 group 2 DESPITE_THE_FACT no element found: line 1, column 0
1865 single  IN_THE_NATURE_OF not well-formed (invalid token): line 1, column 46
1867 single  IN_THE_PROCESS_OF not well-formed (invalid token): line 1, column 15
1868 single  IT_SEEMS_OR_APPEARS_THAT not well-formed (invalid token): line 1, column 18
1871 single  MAKE_AN_ATTEMPT not well-formed (invalid token): line 1, column 37
1872 single  NOT_ABLE not well-formed (invalid token): line 1, column 15
1873 single  NOT_ACCEPT not well-formed (invalid token): line 1, column 15
1874 single  NOT_CERTAIN not well-formed (invalid token): line 1, column 15
1876 single  NOT_MANY not well-formed (invalid token): line 1, column 15
1878 single  NOT_THE_SAME not well-formed (invalid token): line 1, column 15
1884 group 1 QUESTION_X_WHETHER no element found: line 1, column 0
1885 group 2 QUESTION_X_WHETHER no element found: line 1, column 0
1886 single  REGARD_AS_BEING not well-formed (invalid token): line 1, column 13
1895 single  TYPE_OF not well-formed (invalid token): line 1, column 16
1907 group 1 EMPHATIC_REFLEXIVE_PRONOUNS no element found: line 1, column 0
1908 group 2 EMPHATIC_REFLEXIVE_PRONOUNS no element found: line 1, column 0
1909 group 3 EMPHATIC_REFLEXIVE_PRONOUNS no element found: line 1, column 0
1910 group 4 EMPHATIC_REFLEXIVE_PRONOUNS no element found: line 1, column 0
1911 group 5 EMPHATIC_REFLEXIVE_PRONOUNS no element found: line 1, column 0
1912 group 6 EMPHATIC_REFLEXIVE_PRONOUNS no element found: line 1, column 0
1913 group 7 EMPHATIC_REFLEXIVE_PRONOUNS no element found: line 1, column 0
1914 group 8 EMPHATIC_REFLEXIVE_PRONOUNS no element found: line 1, column 0
1915 single  HASH_SYMBOL not well-formed (invalid token): line 1, column 14
1916 single  WIKIPEDIA_12_PM not well-formed (invalid token): line 1, column 14
1917 single  WIKIPEDIA_12_AM not well-formed (invalid token): line 1, column 14
1936 single  APOSTROPHE_IN_DATES not well-formed (invalid token): line 1, column 46
2060 group 1 EUPUB_RESPECT no element found: line 1, column 0
2061 group 2 EUPUB_RESPECT no element found: line 1, column 0
2065 group 1 EUPUB_SEMESTER_TRIMESTER no element found: line 1, column 62
-1 single  EUPUB_SERVICE syntax error: line 1, column 0
-1 single  EUPUB_SHALL syntax error: line 1, column 0
-1 single  EUPUB_SICKNESS_INSURANCE syntax error: line 1, column 0
-1 single  EUPUB_SO_CALLED syntax error: line 1, column 0
-1 group 0 EUPUB_SUPPRESS_SUPPRESSION syntax error: line 1, column 0
-1 group 1 EUPUB_SUPPRESS_SUPPRESSION syntax error: line 1, column 0
-1 group 2 EUPUB_SUPPRESS_SUPPRESSION syntax error: line 1, column 0
-1 group 3 EUPUB_SUPPRESS_SUPPRESSION syntax error: line 1, column 0
-1 single  EUPUB_THIRD_COUNTRY syntax error: line 1, column 0
-1 group 0 EUPUB_TRAINING syntax error: line 1, column 0
-1 group 1 EUPUB_TRAINING syntax error: line 1, column 0
-1 single  EUPUB_TRANSMIT syntax error: line 1, column 0
-1 group 0 EUPUB_TRANSPOSE_TRANSPOSITION syntax error: line 1, column 0
-1 group 1 EUPUB_TRANSPOSE_TRANSPOSITION syntax error: line 1, column 0
-1 group 0 EUPUB_TRANSVERSE_TRANSVERSAL syntax error: line 1, column 0
-1 group 1 EUPUB_TRANSVERSE_TRANSVERSAL syntax error: line 1, column 0
-1 single  EUPUB_TRAVEL syntax error: line 1, column 0
-1 single  EUPUB_TREATMENT syntax error: line 1, column 0
-1 single  EUPUB_VALORISE_VALORIZE syntax error: line 1, column 0
-1 single  EUPUB_VERIFICATIONS syntax error: line 1, column 0
-1 single  EUPUB_VISA syntax error: line 1, column 0
