example,plain_example,type,group_index,category_id,category_name,category_type,rule_id,rule_name,error_type
"<example correction=""had known"">If I <marker>would have known</marker> about the party, I would have gone to it.</example>","If I would have known about the party, I would have gone to it.",single,,GRAMMAR,Grammar,grammar,IF_WOULD_HAVE_VBN,if I would have (if I had),
,,group,0,GRAMMAR,Grammar,grammar,FEWER_LESS,fewer with countable nouns (less),
"<example correction=""fewer"">Ten items or <marker>less</marker></example>",Ten items or less,group,1,GRAMMAR,Grammar,grammar,FEWER_LESS,fewer with countable nouns (less),
"<example correction=""fewer"">He has <marker>less</marker> items</example>",He has less items,group,2,GRAMMAR,Grammar,grammar,FEWER_LESS,fewer with countable nouns (less),
"<example correction=""Do""><marker>Does</marker> you have your glasses?</example>",Does you have your glasses?,group,0,GRAMMAR,Grammar,grammar,DOES_YOU,does (do) I/you/we/they,
"<example correction=""Do"">But <marker>Does</marker> you have your glasses?</example>",But Does you have your glasses?,group,1,GRAMMAR,Grammar,grammar,DOES_YOU,does (do) I/you/we/they,
"<example correction=""try"">Do you <marker>tried</marker> this?</example>",Do you tried this?,single,,GRAMMAR,Grammar,grammar,DO_VBZ,do you sings (sing),
"<example correction=""replaced"">This part must be <marker>replaces</marker> with caution.</example>",This part must be replaces with caution.,single,,GRAMMAR,Grammar,grammar,MD_BE_NON_VBP,could/should/must be does (done),
"<example correction=""grow"">Does your memory usage <marker>grows</marker> during processing?</example>",Does your memory usage grows during processing?,single,,GRAMMAR,Grammar,grammar,DOES_NP_VBZ,'does' ... 3rd person verb (base verb),
"<example correction=""Does|Do""><marker>Doe</marker> he like me?</example>",Doe he like me?,single,,GRAMMAR,Grammar,grammar,SENT_START_DOE,Doe (Does),
"<example correction=""wants"">Who <marker>want</marker> to go to the mall?</example>",Who want to go to the mall?,single,,GRAMMAR,Grammar,grammar,WHAT_VBZ,3rd person verb (base verb) after what/who,
"<example correction=""supports"">It <marker>support</marker> transparency.</example>",It support transparency.,single,,GRAMMAR,Grammar,grammar,IT_VBZ,'it' + non-3rd person verb,
"<example correction=""work"">Did the application <marker>worked</marker>?</example>",Did the application worked?,group,0,GRAMMAR,Grammar,grammar,DID_PAST,'did' with past tense verb,
"<example correction=""forget"">Did you <marker>forgot</marker> it?</example>",Did you forgot it?,group,1,GRAMMAR,Grammar,grammar,DID_PAST,'did' with past tense verb,
,,group,0,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",
"<example correction=""""><marker>Always</marker> I am happy.</example>",Always I am happy.,group,1,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",
"<example correction=""""><marker>Ever</marker> it was thus.</example>",Ever it was thus.,group,2,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",
"<example correction="""">I am happy <marker>always</marker>.</example>",I am happy always.,group,3,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",
"<example correction=""am sometimes"">I <marker>sometimes am</marker> happy.</example>",I sometimes am happy.,group,4,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",
"<example correction=""am sometimes"">I am here and I <marker>sometimes am</marker> happy.</example>",I am here and I sometimes am happy.,group,5,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",
"<example correction=""have often been seen"">They <marker>have been seen often</marker> together.</example>",They have been seen often together.,group,6,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",
<example>They have <marker>often been seen</marker> together.</example>,They have often been seen together.,group,7,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",
<example>The human being <marker>is often</marker> regarded as</example>,The human being is often regarded as,group,8,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",
"<example correction=""often go"">I <marker>go often</marker> to bed before midnight.</example>",I go often to bed before midnight.,group,9,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",
<example>They <marker>usually have</marker> long hind limbs</example>,They usually have long hind limbs,group,10,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",
"<example correction=""write"">I'm going to <marker>wrote</marker> him.</example>",I'm going to wrote him.,single,,GRAMMAR,Grammar,grammar,GOING_TO_VBD,Use of past form with 'going to ...',
"<example correction=""had known"">He <marker>had been knowing</marker> it.</example>",He had been knowing it.,group,0,GRAMMAR,Grammar,grammar,NON_ACTION_CONTINUOUS,Use of continuous form with non-action verbs,
"<example correction=""knew"">She <marker>was knowing</marker> it.</example>",She was knowing it.,group,1,GRAMMAR,Grammar,grammar,NON_ACTION_CONTINUOUS,Use of continuous form with non-action verbs,
"<example correction=""knows"">She <marker>is knowing</marker> it.</example>",She is knowing it.,group,2,GRAMMAR,Grammar,grammar,NON_ACTION_CONTINUOUS,Use of continuous form with non-action verbs,
"<example correction=""know"">I <marker>am knowing</marker> it.</example>",I am knowing it.,group,3,GRAMMAR,Grammar,grammar,NON_ACTION_CONTINUOUS,Use of continuous form with non-action verbs,
"<example correction=""At""><marker>On</marker> first glance it seems to be a good idea.</example>",On first glance it seems to be a good idea.,single,,GRAMMAR,Grammar,grammar,ON_FIRST_GLANCE,on (at) first glance,
<example>I don't <marker>need</marker> help with that.</example>,I don't need help with that.,group,0,GRAMMAR,Grammar,grammar,DONT_NEEDS,don't ... 3rd person verb,
<example>I do not <marker>need</marker> help with that.</example>,I do not need help with that.,group,1,GRAMMAR,Grammar,grammar,DONT_NEEDS,don't ... 3rd person verb,
<example>He does not have expertise about that.</example>,He does not have expertise about that.,single,,GRAMMAR,Grammar,grammar,DOES_X_HAS,does ... 3rd person verb,
<example>This is a <marker>philosophical question</marker>.</example>,This is a philosophical question.,single,,GRAMMAR,Grammar,grammar,A_RB_NN,Adverb instead of an adjective,
"<example correction=""wants me to"">He <marker>wants that I</marker> send him an email.</example>",He wants that I send him an email.,group,0,GRAMMAR,Grammar,grammar,WANT_THAT_I,want that I (want me to),
"<example correction=""wants you to"">He <marker>wants that you</marker> send him an email.</example>",He wants that you send him an email.,group,1,GRAMMAR,Grammar,grammar,WANT_THAT_I,want that I (want me to),
"<example correction=""want him to"">They <marker>want that he</marker> sends him an email.</example>",They want that he sends him an email.,group,2,GRAMMAR,Grammar,grammar,WANT_THAT_I,want that I (want me to),
"<example correction=""want her to"">They <marker>want that she</marker> sends him an email.</example>",They want that she sends him an email.,group,3,GRAMMAR,Grammar,grammar,WANT_THAT_I,want that I (want me to),
"<example correction=""wants us to"">He <marker>wants that we</marker> send him an email.</example>",He wants that we send him an email.,group,4,GRAMMAR,Grammar,grammar,WANT_THAT_I,want that I (want me to),
"<example correction=""want them to"">They <marker>want that they</marker> sends him an email.</example>",They want that they sends him an email.,group,5,GRAMMAR,Grammar,grammar,WANT_THAT_I,want that I (want me to),
<example>I am going to the store.</example>,I am going to the store.,single,,GRAMMAR,Grammar,grammar,THE_SENT_END,Sentence ending with 'the' or 'a',
<example>I am going to the store.</example>,I am going to the store.,single,,GRAMMAR,Grammar,grammar,THE_PUNCT,'The' or 'a' before a punctuation,
"<example correction="""">I <marker>accidentally the</marker> flashlight.</example>",I accidentally the flashlight.,single,,GRAMMAR,Grammar,grammar,PRP_RB_NO_VB,Verb missing after personal pronoun and adverb at beginning of sentence.,
"<example correction=""won't"">I <marker>don't will</marker> do that.</example>",I don't will do that.,single,,GRAMMAR,Grammar,grammar,DONT_WILL,don't will (won't),
"<example correction=""help me find"">Can any guru <marker>help me to find</marker> the reason?</example>",Can any guru help me to find the reason?,single,,GRAMMAR,Grammar,grammar,HELP_TO_FIND,help to find (help find),
"<example correction=""was|has been"">She <marker>was been</marker> here since Monday.</example>",She was been here since Monday.,group,0,GRAMMAR,Grammar,grammar,WAS_BEEN,was been (has been),
"<example correction=""was not|has not been"">She <marker>was not been</marker> here since Monday.</example>",She was not been here since Monday.,group,1,GRAMMAR,Grammar,grammar,WAS_BEEN,was been (has been),
"<example correction=""wasn't|hasn't been"">She <marker>wasn't been</marker> here since Monday.</example>",She wasn't been here since Monday.,group,2,GRAMMAR,Grammar,grammar,WAS_BEEN,was been (has been),
"<example correction=""Let's not""><marker>Let's don't</marker> go there.</example>",Let's don't go there.,single,,GRAMMAR,Grammar,grammar,LETS_DONT,let's don't (let's not),
"<example correction=""These""><marker>These Ones</marker> Are Bitter.</example>",These Ones Are Bitter.,single,,GRAMMAR,Grammar,grammar,THESE_ONES,these/those ones (these/those),
"<example correction=""All""><marker>Each</marker> children are happy.</example>",Each children are happy.,single,,GRAMMAR,Grammar,grammar,EACH_EVERY_NNS,'each' or 'every' with plural nouns,
,,group,0,GRAMMAR,Grammar,grammar,AGREEMENT_THEIR_HIS,Possible agreement error: Each of them likes their (his/her),
"<example correction=""his|her|his or her|its"">Each of the boys likes <marker>their</marker> new teacher.</example>",Each of the boys likes their new teacher.,group,1,GRAMMAR,Grammar,grammar,AGREEMENT_THEIR_HIS,Possible agreement error: Each of them likes their (his/her),
"<example correction=""his|her|his or her|its"">Each child needs <marker>their</marker> parents.</example>",Each child needs their parents.,group,2,GRAMMAR,Grammar,grammar,AGREEMENT_THEIR_HIS,Possible agreement error: Each of them likes their (his/her),
<example>The dogs <marker>are</marker> released.</example>,The dogs are released.,group,0,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example correction=""want"">Many users in Asia <marker>wants</marker> to learn English.</example>",Many users in Asia wants to learn English.,group,1,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dogs <marker>are</marker> released.</example>,The dogs are released.,group,2,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dogs of war <marker>are</marker> released.</example>,The dogs of war are released.,group,3,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dog is released.</example>,The dog is released.,group,4,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dog was released.</example>,The dog was released.,group,5,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dog of war is released.</example>,The dog of war is released.,group,6,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dogs of war <marker>are</marker> released.</example>,The dogs of war are released.,group,7,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example>The dogs, sacrificed by the Ichma, <marker>are</marker> often found with ropes still tied around their necks.</example>","The dogs, sacrificed by the Ichma, are often found with ropes still tied around their necks.",group,8,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example correction=""want"">Many users in Asia, for example, <marker>wants</marker> to learn English.</example>","Many users in Asia, for example, wants to learn English.",group,9,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example>The dogs, for instance, <marker>are</marker> released.</example>","The dogs, for instance, are released.",group,10,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dogs of war <marker>are</marker> released.</example>,The dogs of war are released.,group,11,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dog is released.</example>,The dog is released.,group,12,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dog was released.</example>,The dog was released.,group,13,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dog of war is released.</example>,The dog of war is released.,group,14,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example>The dogs of war, however, <marker>are</marker> released.</example>","The dogs of war, however, are released.",group,15,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dogs <marker>are</marker> released.</example>,The dogs are released.,group,16,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example correction=""want"">She asked whether the users from Asia <marker>wants</marker> to learn English.</example>",She asked whether the users from Asia wants to learn English.,group,17,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dogs <marker>are</marker> released.</example>,The dogs are released.,group,18,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dogs of war <marker>are</marker> released.</example>,The dogs of war are released.,group,19,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dog is released.</example>,The dog is released.,group,20,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dog was released.</example>,The dog was released.,group,21,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dog of war is released.</example>,The dog of war is released.,group,22,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dogs of war <marker>are</marker> released.</example>,The dogs of war are released.,group,23,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example>The dogs, sacrificed by the Ichma, <marker>are</marker> often found with ropes still tied around their necks.</example>","The dogs, sacrificed by the Ichma, are often found with ropes still tied around their necks.",group,24,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example correction=""want"">Do you know whether the users from Asia, for example, <marker>wants</marker> to learn English?</example>","Do you know whether the users from Asia, for example, wants to learn English?",group,25,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example>The dogs, for instance, <marker>are</marker> released.</example>","The dogs, for instance, are released.",group,26,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dogs of war <marker>are</marker> released.</example>,The dogs of war are released.,group,27,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dog is released.</example>,The dog is released.,group,28,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dog was released.</example>,The dog was released.,group,29,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
<example>The dog of war is released.</example>,The dog of war is released.,group,30,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example>The dogs of war, however, <marker>are</marker> released.</example>","The dogs of war, however, are released.",group,31,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example correction=""Cat sleeps|Cats sleep""><marker>Cats sleeps</marker> more than 15 hours per day.</example>",Cats sleeps more than 15 hours per day.,group,32,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example correction=""prevent"">This infrared radiation rises into the atmosphere where gases, such as carbon dioxide, <marker>prevents</marker> the infrared radiation from escaping into space.</example>","This infrared radiation rises into the atmosphere where gases, such as carbon dioxide, prevents the infrared radiation from escaping into space.",group,33,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example correction=""prevent"">This infrared radiation rises into the atmosphere where gases <marker>prevents</marker> the infrared radiation from escaping into space.</example>",This infrared radiation rises into the atmosphere where gases prevents the infrared radiation from escaping into space.,group,34,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example correction=""am|are|aren"">The teacher and her students <marker>is</marker> in the classroom.</example>",The teacher and her students is in the classroom.,group,35,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example correction=""sing"">Tina and her father <marker>sings</marker> a song.</example>",Tina and her father sings a song.,group,36,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example correction=""is"">Each of the children <marker>are</marker> happy.</example>",Each of the children are happy.,group,37,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example correction=""elements"">Both <marker>element</marker> are red.</example>",Both element are red.,group,38,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example correction=""believe"">Both of them <marker>believes</marker> in God.</example>",Both of them believes in God.,group,39,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example correction=""are|were"">Cars <marker>is</marker> useful.</example>",Cars is useful.,group,40,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,
"<example correction=""Does""><marker>Do</marker> your father live in England?</example>",Do your father live in England?,group,0,GRAMMAR,Grammar,grammar,AGREEMENT_QUESTION,agreement error: auxiliary verb (do/have) and subject in questions,
"<example correction=""Has""><marker>Have</marker> your father lived in England?</example>",Have your father lived in England?,group,1,GRAMMAR,Grammar,grammar,AGREEMENT_QUESTION,agreement error: auxiliary verb (do/have) and subject in questions,
"<example correction=""Have""><marker>Has</marker> your parents told you everything?</example>",Has your parents told you everything?,group,2,GRAMMAR,Grammar,grammar,AGREEMENT_QUESTION,agreement error: auxiliary verb (do/have) and subject in questions,
"<example correction=""Do""><marker>Does</marker> your parents live in England?</example>",Does your parents live in England?,group,3,GRAMMAR,Grammar,grammar,AGREEMENT_QUESTION,agreement error: auxiliary verb (do/have) and subject in questions,
"<example correction=""are|were"">Where <marker>is</marker> your dogs?</example>",Where is your dogs?,group,4,GRAMMAR,Grammar,grammar,AGREEMENT_QUESTION,agreement error: auxiliary verb (do/have) and subject in questions,
"<example correction=""A hundred""><marker>A hundreds</marker> people were in the store.</example>",A hundreds people were in the store.,single,,GRAMMAR,Grammar,grammar,A_HUNDREDS,a hundreds (hundred),
"<example correction=""a criterion|criteria"">I needed to use a text line as <marker>a criteria</marker> to select users for a list.</example>",I needed to use a text line as a criteria to select users for a list.,group,0,GRAMMAR,Grammar,grammar,A_PLURAL,Agreement: 'a' + plural word,
"<example correction=""milestone"">The Syria resolution was a major <marker>milestones</marker> for the United Nations.</example>",The Syria resolution was a major milestones for the United Nations.,group,1,GRAMMAR,Grammar,grammar,A_PLURAL,Agreement: 'a' + plural word,
"<example correction=""one hexagon|a hexagon|hexagons"">I drew <marker>one hexagons</marker> on my paper.</example>",I drew one hexagons on my paper.,single,,GRAMMAR,Grammar,grammar,ONE_PLURAL,Agreement: 'one' + plural word,
"<example correction=""die"">I had a <marker>dice</marker> in my hand.</example>",I had a dice in my hand.,single,,GRAMMAR,Grammar,grammar,DIE_DICE,"one die, two dice",
"<example correction=""foot"">I had a shoe on one <marker>feet</marker>.</example>",I had a shoe on one feet.,single,,GRAMMAR,Grammar,grammar,FOOT_FEET,"one foot, two feet",
"<example correction=""man"">A <marker>men</marker> walked in to the room.</example>",A men walked in to the room.,single,,GRAMMAR,Grammar,grammar,MAN_MEN,"one man, two men",
"<example correction=""woman"">A <marker>women</marker> walked in to the room.</example>",A women walked in to the room.,single,,GRAMMAR,Grammar,grammar,WOMAN_WOMEN,"one woman, two women",
<example>I must have done that.</example>,I must have done that.,group,0,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,
<example>I have always done that.</example>,I have always done that.,group,1,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,
<example>I have always done that.</example>,I have always done that.,group,2,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,
"<example correction=""liked"">I have <marker>like</marker> her.</example>",I have like her.,group,3,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,
"<example correction=""liked"">Have you <marker>like</marker> her?</example>",Have you like her?,group,4,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,
"<example correction=""done"">What have you <marker>did</marker>?</example>",What have you did?,group,5,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,
<example>We do have soap.</example>,We do have soap.,group,6,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,
"<example correction=""gone"">Have you <marker>went</marker> to Italy?</example>",Have you went to Italy?,group,7,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,
"<example correction=""gone"">Where have you <marker>went</marker>?</example>",Where have you went?,group,8,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,
,,group,0,GRAMMAR,Grammar,grammar,BEEN_PART_AGREEMENT,Agreement: 'been' or 'was' + past tense,
"<example correction=""introduced"">The software was <marker>introduce</marker> yesterday.</example>",The software was introduce yesterday.,group,1,GRAMMAR,Grammar,grammar,BEEN_PART_AGREEMENT,Agreement: 'been' or 'was' + past tense,
<example>It has always been <marker>written</marker> like this.</example>,It has always been written like this.,group,2,GRAMMAR,Grammar,grammar,BEEN_PART_AGREEMENT,Agreement: 'been' or 'was' + past tense,
"<example correction=""is"">Marketing <marker>are</marker> bad for you.</example>",Marketing are bad for you.,group,0,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,
"<example correction=""is"">Marketing, for instance, <marker>are</marker> bad for you.</example>","Marketing, for instance, are bad for you.",group,1,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,
"<example correction=""is"">The marketing <marker>are</marker> bad for you.</example>",The marketing are bad for you.,group,2,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,
"<example correction=""is"">The marketing, for example, <marker>are</marker> bad for you.</example>","The marketing, for example, are bad for you.",group,3,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,
"<example correction=""eats"">The dog <marker>eat</marker>.</example>",The dog eat.,group,4,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,
"<example correction=""eats"">The dog, whose owner likes you, <marker>eat</marker>.</example>","The dog, whose owner likes you, eat.",group,5,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,
"<example correction=""is"">She asked whether marketing <marker>are</marker> bad for you.</example>",She asked whether marketing are bad for you.,group,6,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,
"<example correction=""is"">She asked whether marketing, for instance, <marker>are</marker> bad for you.</example>","She asked whether marketing, for instance, are bad for you.",group,7,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,
"<example correction=""is"">She wants to know whether this room <marker>are</marker> big enough.</example>",She wants to know whether this room are big enough.,group,8,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,
"<example correction=""is"">She wants to know whether this room, for example, <marker>are</marker> big enough.</example>","She wants to know whether this room, for example, are big enough.",group,9,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,
"<example correction=""eats"">She asked whether the dog <marker>eat</marker>.</example>",She asked whether the dog eat.,group,10,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,
"<example correction=""eats"">She asked whether the dog, whose owner likes you, <marker>eat</marker>.</example>","She asked whether the dog, whose owner likes you, eat.",group,11,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,
"<example correction=""like"">There are others who <marker>likes</marker> sleeping until noon.</example>",There are others who likes sleeping until noon.,group,0,GRAMMAR,Grammar,grammar,RELATIVE_CLAUSE_AGREEMENT,Agreement of relative pronoun 'who' and verb,
<example>I <marker>am</marker> at the restaurant.</example>,I am at the restaurant.,group,0,GRAMMAR,Grammar,grammar,PERS_PRONOUN_AGREEMENT_SENT_START,Agreement: 'I is / you is / ... ' (at sentence start only),
"<example correction=""am|ate"">I <marker>are</marker> at the restaurant.</example>",I are at the restaurant.,group,1,GRAMMAR,Grammar,grammar,PERS_PRONOUN_AGREEMENT_SENT_START,Agreement: 'I is / you is / ... ' (at sentence start only),
<example>I <marker>was</marker> at the restaurant.</example>,I was at the restaurant.,group,2,GRAMMAR,Grammar,grammar,PERS_PRONOUN_AGREEMENT_SENT_START,Agreement: 'I is / you is / ... ' (at sentence start only),
"<example correction=""are|were"">You <marker>is</marker> too old for that.</example>",You is too old for that.,group,3,GRAMMAR,Grammar,grammar,PERS_PRONOUN_AGREEMENT_SENT_START,Agreement: 'I is / you is / ... ' (at sentence start only),
"<example correction=""is|was"">He <marker>were</marker> too old for that.</example>",He were too old for that.,group,4,GRAMMAR,Grammar,grammar,PERS_PRONOUN_AGREEMENT_SENT_START,Agreement: 'I is / you is / ... ' (at sentence start only),
"<example correction=""are|were"">We <marker>is</marker> too old for that.</example>",We is too old for that.,group,5,GRAMMAR,Grammar,grammar,PERS_PRONOUN_AGREEMENT_SENT_START,Agreement: 'I is / you is / ... ' (at sentence start only),
"<example correction=""are|were"">They <marker>is</marker> too old for that.</example>",They is too old for that.,group,6,GRAMMAR,Grammar,grammar,PERS_PRONOUN_AGREEMENT_SENT_START,Agreement: 'I is / you is / ... ' (at sentence start only),
"<example correction=""learn"">I was surprised to <marker>learns</marker> this.</example>",I was surprised to learns this.,group,0,GRAMMAR,Grammar,grammar,TO_NON_BASE,'to' + non-base form,
"<example correction=""give"">He convinced her to <marker>gave</marker> him a call.</example>",He convinced her to gave him a call.,group,1,GRAMMAR,Grammar,grammar,TO_NON_BASE,'to' + non-base form,
"<example correction=""go"">She wants you to <marker>goes</marker> there.</example>",She wants you to goes there.,group,2,GRAMMAR,Grammar,grammar,TO_NON_BASE,'to' + non-base form,
"<example correction=""to rename"">I've decided <marker>to renamed</marker> the project.</example>",I've decided to renamed the project.,group,3,GRAMMAR,Grammar,grammar,TO_NON_BASE,'to' + non-base form,
"<example correction=""much|little"">John eats as <marker>many</marker> food as Peter.</example>",John eats as many food as Peter.,group,0,GRAMMAR,Grammar,grammar,MANY_FEW_UNCOUNTABLE,"'many/few' + uncountable noun, e.g. 'many (much) food'",
<example>There are <marker>many</marker> food plants.</example>,There are many food plants.,group,1,GRAMMAR,Grammar,grammar,MANY_FEW_UNCOUNTABLE,"'many/few' + uncountable noun, e.g. 'many (much) food'",
<example><marker>The information</marker> in your files is correct.</example>,The information in your files is correct.,group,0,GRAMMAR,Grammar,grammar,A_UNCOUNTABLE,Articles: a + uncountable noun,
<example>A knowledge of accounting was necessary for the job.</example>,A knowledge of accounting was necessary for the job.,group,1,GRAMMAR,Grammar,grammar,A_UNCOUNTABLE,Articles: a + uncountable noun,
